Genus,Group
Anabaenopsis,Cyanobacteria
Aphanizomenon,Cyanobacteria
Aphanocapsa,Cyanobacteria
Chroococcus,Cyanobacteria
Cyanodictyon,Cyanobacteria
Cylindrospermopsis,Cyanobacteria
Dolichospermum,Cyanobacteria
Eucapsis,Cyanobacteria
Geitlerinema,Cyanobacteria
Glaucospira,Cyanobacteria
Heteroleibleinia,Cyanobacteria
Komvophoron,Cyanobacteria
Lemmermannia,Cyanobacteria
Merismopedia,Cyanobacteria
Microcystis,Cyanobacteria
Phormidium,Cyanobacteria
Planktolyngbya,Cyanobacteria
Planktothrix,Cyanobacteria
Pseudanabaena,Cyanobacteria
Snowella,Cyanobacteria
Sphaerospermopsis,Cyanobacteria
Spirulina,Cyanobacteria
Synechococcus,Cyanobacteria
Synechocystis,Cyanobacteria
Colpidium,Ciliates
Halteria,Ciliates
Lohmaniella,Ciliates
Mesodinium,Ciliates
Strobilidium,Ciliates
Strombidium,Ciliates
Chroomonas,Cryptophytes
Cryptomonas,Cryptophytes
Hemiselmis,Cryptophytes
Hillea,Cryptophytes
Plagioselmis,Cryptophytes
Rhodomonas,Cryptophytes
Teleaulax,Cryptophytes
Achnanthidium,Diatoms
Adlafia,Diatoms
Amphora,Diatoms
Asterionella,Diatoms
Aulacoseira,Diatoms
Bacillaria,Diatoms
Belonastrum,Diatoms
Caloneis,Diatoms
Campylodiscus,Diatoms
Ceratoneis,Diatoms
Cocconeis,Diatoms
Craticula,Diatoms
Cyclotella,Diatoms
Cylindrotheca,Diatoms
Cymatopleura,Diatoms
Cymbella,Diatoms
Diatoma,Diatoms
Diploneis,Diatoms
Encyonema,Diatoms
Entomoneis,Diatoms
Eolimna,Diatoms
Epithemia,Diatoms
Fragilaria,Diatoms
Fragilariopsis,Diatoms
Frustulia,Diatoms
Geissleria,Diatoms
Gomphoneis,Diatoms
Gomphonema,Diatoms
Gyrosigma,Diatoms
Halamphora,Diatoms
Hantzschia,Diatoms
Hippodonta,Diatoms
Karayevia,Diatoms
Lemnicola,Diatoms
Lindavia,Diatoms
Luticola,Diatoms
Melosira,Diatoms
Minutocellus,Diatoms
Navicula,Diatoms
Navigeia,Diatoms
Neidium,Diatoms
Nitzschia,Diatoms
Odontidium,Diatoms
Pinnularia,Diatoms
Planothidium,Diatoms
Pleurosigma,Diatoms
Psammothidium,Diatoms
Pseudostaurosira,Diatoms
Reimeria,Diatoms
Rhoicosphenia,Diatoms
Rhopalodia,Diatoms
Sellaphora,Diatoms
Skeletonema,Diatoms
Staurosira,Diatoms
Staurosirella,Diatoms
Stephanodiscus,Diatoms
Surirella,Diatoms
Synedra,Diatoms
Thalassiosira,Diatoms
Tryblionella,Diatoms
Ulnaria,Diatoms
Urosolenia,Diatoms
Azadinium,Dinoflagellates
Gymnodinium,Dinoflagellates
Gyrodinium,Dinoflagellates
Karlodinium,Dinoflagellates
Peridinium,Dinoflagellates
Protoperidinium,Dinoflagellates
Chromulina,Golden Algae
Chrysococcus,Golden Algae
Dinobryon,Golden Algae
Kephyrion,Golden Algae
Ochromonas,Golden Algae
Pseudokephyrion,Golden Algae
Actinastrum,Green Algae
Acutodesmus,Green Algae
Ankistrodesmus,Green Algae
Ankyra,Green Algae
Aphanochaete,Green Algae
Botryococcus,Green Algae
Carteria,Green Algae
Characium,Green Algae
Chlamydomonas,Green Algae
Chlorella,Green Algae
Closteriopsis,Green Algae
Closterium,Green Algae
Coelastrum,Green Algae
Crucigenia,Green Algae
Crucigeniella,Green Algae
Desmodesmus,Green Algae
Dictyosphaerium,Green Algae
Drepanochloris,Green Algae
Dunaliella,Green Algae
Elakatothrix,Green Algae
Enallax,Green Algae
Franceia,Green Algae
Golenkiniopsis,Green Algae
Kirchneriella,Green Algae
Lagerheimia,Green Algae
Micromonas,Green Algae
Microspora,Green Algae
Monomastix,Green Algae
Monoraphidium,Green Algae
Mucidosphaerium,Green Algae
Nephroselmis,Green Algae
Oocystis,Green Algae
Pediastrum,Green Algae
Pedinomonas,Green Algae
Pseudoscourfieldia,Green Algae
Pyramimonas,Green Algae
Raphidocelis,Green Algae
Scenedesmus,Green Algae
Schroederia,Green Algae
Sphaerellopsis,Green Algae
Sphaerocystis,Green Algae
Spirogyra,Green Algae
Stichococcus,Green Algae
Tetrabaena,Green Algae
Tetradesmus,Green Algae
Tetraedron,Green Algae
Tetraselmis,Green Algae
Tetrastrum,Green Algae
Treubaria,Green Algae
Westella,Green Algae
Willea,Green Algae
Bicosoeca,Other
Chrysochromulina,Other
Chrysosaccus,Other
Euglena,Other
Eutreptia,Other
Goniochloris,Other
Lepocinclis,Other
Mallomonas,Other
Ophiocytium,Other
Phacus,Other
Strombomonas,Other
Synura,Other
Trachelomonas,Other
Unidentified,Other
